Device Type, Ticks, Data0, Data1
4, 12785, 0, 888
2, 12819, 0, 2063
1, 12824, 101, 116
0, 12826, 5, 0
4, 12826, 0, 892
4, 12827, 0, 892
2, 12860, 3, 2060
1, 12865, 104, 112
0, 12868, 7, 0
4, 12868, 0, 889
4, 12869, 0, 889
2, 12902, 3, 2239
1, 12907, 101, 110
0, 12909, 6, 0
4, 12909, 0, 880
4, 12910, 0, 880
2, 12943, 0, 1751
1, 12948, 97, 113
0, 12951, 1, 0
4, 12951, 0, 884
4, 12952, 0, 884
2, 12985, 1, 1891
1, 12990, 101, 113
0, 12993, 4, 0
4, 12993, 0, 891
4, 12993, 0, 891
2, 13027, 0, 1718
1, 13032, 102, 111
0, 13034, 5, 0
4, 13034, 0, 893
4, 13035, 0, 893
2, 13068, 0, 2003
1, 13073, 104, 115
0, 13076, 6, 0
4, 13076, 0, 890
4, 13076, 0, 890
2, 13110, 0, 2168
1, 13115, 101, 112
0, 13117, 4, 0
4, 13117, 0, 850
4, 13118, 0, 850
2, 13151, 0, 1881
1, 13156, 100, 114
0, 13159, 3, 0
4, 13159, 0, 959
0, 13164, 5, 0
4, 13164, 0, 917
1, 13175, 100, 114
2, 13176, 0, 1954
0, 13195, 3, 0
4, 13195, 0, 903
1, 13205, 101, 112
2, 13206, 0, 2195
0, 13226, 7, 0
4, 13226, 0, 856
4, 13227, 0, 856
2, 13260, 0, 2211
1, 13265, 101, 111
0, 13268, 7, 0
4, 13268, 0, 965
2, 13285, 0, 2215
0, 13287, 6, 0
4, 13287, 0, 905
1, 13298, 103, 114
2, 13310, 5, 2184
0, 13318, 7, 0
4, 13318, 0, 827
4, 13319, 0, 827
2, 13352, 0, 2302
1, 13357, 101, 114
0, 13360, 6, 0
4, 13360, 0, 1032
2, 13377, 0, 1864
0, 13380, 6, 0
4, 13380, 0, 916
1, 13390, 101, 111
2, 13402, 0, 2133
0, 13411, 4, 0
4, 13411, 0, 894
4, 13411, 0, 894
2, 13445, 0, 1967
1, 13450, 104, 112
0, 13452, 9, 0
4, 13452, 0, 905
2, 13470, 0, 2133
0, 13472, 6, 0
4, 13472, 0, 908
1, 13482, 103, 112
2, 13495, 0, 1855
0, 13503, 6, 0
4, 13503, 0, 910
1, 13513, 100, 117
2, 13520, 0, 2375
0, 13534, 4, 0
4, 13534, 0, 906
1, 13544, 104, 112
2, 13545, 2, 2209
0, 13564, 7, 0
4, 13564, 0, 916
1, 13574, 99, 109
2, 13575, 2, 1964
0, 13595, 7, 0
4, 13595, 0, 902
2, 13600, 1, 1811
1, 13605, 97, 109
0, 13626, 6, 0
4, 13626, 0, 900
2, 13626, 0, 1442
1, 13636, 101, 109
2, 13651, 0, 2131
0, 13657, 2, 0
4, 13657, 0, 888
4, 13657, 0, 888
2, 13691, 0, 2055
1, 13696, 97, 104
0, 13698, 7, 0
4, 13698, 0, 899
4, 13699, 0, 899
2, 13733, 3, 1642
1, 13737, 95, 102
0, 13740, 9, 0
4, 13740, 0, 914
0, 13749, 7, 0
4, 13749, 0, 891
4, 13750, 0, 891
2, 13783, 0, 2357
1, 13788, 91, 105
0, 13791, 22, 0
4, 13791, 0, 898
4, 13791, 0, 898
2, 13825, 0, 2081
1, 13830, 90, 103
0, 13832, 11, 0
4, 13832, 0, 887
4, 13833, 0, 887
2, 13866, 3, 1838
1, 13871, 91, 101
0, 13874, 8, 0
4, 13874, 0, 891
4, 13875, 0, 891
2, 13908, 5, 2389
1, 13913, 89, 100
0, 13916, 15, 0
4, 13916, 0, 890
4, 13916, 0, 890
2, 13950, 5, 2240
1, 13955, 91, 97
0, 13957, 17, 0
4, 13957, 0, 882
4, 13958, 0, 882
6, 14269, 0, 0
5, 14271, 0, 0
5, 14372, 0, 8
5, 14473, 0, 30
5, 14574, 0, 58
5, 14675, 0, 85
5, 14776, 0, 101
5, 14877, 0, 90
5, 14978, 0, 96
2, 15141, 2, 2115
1, 15146, 108, 107
2, 15166, 0, 2107
1, 15176, 109, 110
2, 15191, 0, 2481
1, 15207, 109, 108
2, 15216, 0, 2585
1, 15238, 104, 109
2, 15241, 11, 281
1, 15269, 107, 108
2, 15269, 0, 2546
2, 15294, 0, 2387
1, 15299, 103, 111
2, 15319, 0, 1811
1, 15330, 103, 110
2, 15344, 3, 1898
1, 15361, 104, 111
2, 15369, 2, 2136
1, 15392, 101, 111
2, 15394, 0, 1530
1, 15423, 97, 111
2, 15423, 4, 2805
2, 15448, 26, 759
1, 15454, 98, 111
2, 15473, 16, 2909
1, 15485, 99, 114
2, 15498, 0, 2204
1, 15515, 97, 109
2, 15523, 5, 2049
1, 15546, 96, 110
2, 15548, 1, 1748
1, 15577, 92, 105
2, 15577, 0, 1873
2, 15602, 0, 2116
1, 15608, 94, 106
2, 15627, 0, 2455
1, 15639, 92, 103
2, 15652, 0, 2259
1, 15670, 86, 105
2, 15677, 0, 2299
1, 15700, 89, 102
2, 15702, 0, 2974
1, 15731, 84, 100
2, 15732, 5, 2215
2, 15756, 0, 1588
1, 15762, 86, 99
2, 15781, 4, 1858
1, 15793, 85, 96
2, 15806, 27, 2039
1, 15824, 81, 98
2, 15831, 9, 2440
1, 15855, 83, 94
2, 15856, 6, 2525
2, 15881, 0, 2064
1, 15886, 82, 90
2, 15906, 0, 2151
1, 15916, 81, 86
2, 15931, 0, 1597
1, 15947, 77, 91
2, 15956, 8, 2366
1, 15978, 78, 85
2, 15981, 0, 2321
1, 16009, 72, 83
2, 16009, 0, 2226
2, 16034, 0, 2502
1, 16040, 73, 82
2, 16059, 0, 1483
1, 16070, 70, 84
2, 16084, 6, 1923
1, 16101, 71, 78
2, 16109, 15, 2241
1, 16132, 69, 83
2, 16134, 16, 2205
1, 16163, 67, 79
2, 16163, 0, 2861
2, 16188, 0, 2216
1, 16194, 68, 70
2, 16213, 0, 1466
0, 16222, 703, 0
4, 16222, 0, 811
1, 16227, 69, 74
0, 16230, 675, 0
4, 16230, 0, 805
2, 16238, 0, 2213
1, 16255, 67, 75
0, 16258, 650, 0
4, 16258, 0, 810
2, 16263, 0, 2322
1, 16286, 64, 72
0, 16289, 631, 0
4, 16289, 0, 808
2, 16289, 7, 2297
1, 16317, 65, 72
0, 16319, 597, 0
4, 16319, 0, 813
2, 16320, 0, 2306
1, 16348, 67, 70
0, 16350, 576, 0
4, 16350, 0, 816
2, 16351, 5, 482
1, 16378, 70, 68
0, 16381, 546, 0
4, 16381, 0, 828
2, 16381, 1, 1420
1, 16409, 72, 69
0, 16412, 509, 0
4, 16412, 0, 827
2, 16412, 0, 1400
1, 16440, 73, 70
0, 16443, 494, 0
4, 16443, 0, 833
2, 16443, 0, 1865
1, 16471, 72, 70
0, 16473, 456, 0
4, 16473, 0, 831
2, 16474, 14, 1885
1, 16502, 71, 73
0, 16504, 433, 0
4, 16504, 0, 828
2, 16505, 0, 1416
1, 16532, 74, 71
0, 16535, 410, 0
4, 16535, 0, 850
2, 16535, 5, 1386
1, 16563, 73, 74
0, 16566, 375, 0
4, 16566, 0, 842
2, 16566, 1, 1628
1, 16594, 75, 73
2, 16594, 17, 1585
0, 16597, 353, 0
4, 16597, 0, 839
2, 16619, 10, 1609
1, 16625, 77, 73
0, 16628, 323, 0
4, 16628, 0, 832
2, 16644, 8, 1940
1, 16656, 81, 71
0, 16659, 298, 0
4, 16659, 0, 835
2, 16669, 0, 2765
1, 16687, 80, 74
0, 16690, 268, 0
4, 16690, 0, 828
2, 16694, 16, 2325
1, 16717, 82, 78
0, 16720, 238, 0
4, 16720, 0, 832
2, 16721, 6, 1902
1, 16748, 80, 78
2, 16749, 0, 1363
0, 16751, 207, 0
4, 16751, 1, 828
2, 16773, 0, 2265
1, 16779, 83, 78
0, 16782, 177, 0
4, 16782, 1, 826
4, 16783, 1, 826
6, 17118, 0, 0
5, 17119, 0, 0
5, 17220, 0, 7
5, 17321, 0, 18
5, 17422, 0, 42
5, 17523, 0, 66
5, 17624, 0, 88
5, 17725, 0, 86
5, 17826, 0, 88
2, 17989, 0, 1591
1, 17994, 87, 97
1, 18012, 91, 96
2, 18014, 0, 2302
1, 18043, 88, 94
2, 18043, 0, 2127
2, 18068, 3, 1986
1, 18073, 88, 93
2, 18093, 19, 2213
1, 18104, 89, 92
2, 18118, 19, 1778
1, 18135, 93, 94
2, 18143, 0, 2009
1, 18166, 89, 89
2, 18168, 6, 705
1, 18197, 96, 94
2, 18197, 3, 1967
2, 18222, 0, 2150
1, 18228, 90, 94
2, 18247, 0, 2606
1, 18258, 95, 95
2, 18272, 0, 1500
1, 18289, 90, 97
2, 18297, 0, 879
1, 18320, 92, 94
2, 18322, 2, 2789
1, 18351, 92, 98
2, 18351, 1, 2860
2, 18376, 6, 2520
1, 18382, 90, 95
2, 18401, 4, 2201
1, 18413, 91, 95
2, 18426, 2, 1970
1, 18443, 85, 93
2, 18451, 0, 2392
1, 18474, 95, 94
2, 18476, 21, 2275
1, 18505, 93, 93
2, 18505, 0, 3975
2, 18530, 0, 3661
1, 18536, 92, 92
2, 18555, 0, 3439
1, 18567, 86, 96
2, 18580, 0, 3562
1, 18598, 85, 96
2, 18605, 0, 6182
1, 18628, 82, 94
2, 18630, 0, 3425
1, 18659, 78, 96
2, 18660, 36, 0
2, 18684, 113, 2907
1, 18690, 76, 94
2, 18709, 202, 3407
1, 18721, 75, 86
2, 18734, 247, 2390
1, 18752, 78, 89
2, 18759, 320, 2337
0, 18770, 331, 0
4, 18770, 0, 782
4, 18770, 0, 782
2, 18804, 0, 3968
1, 18809, 71, 83
0, 18811, 694, 0
4, 18811, 0, 779
0, 18824, 601, 0
4, 18824, 0, 771
1, 18833, 72, 82
2, 18834, 67, 2133
0, 18855, 730, 0
4, 18855, 3, 779
2, 18858, 11, 3055
1, 18864, 72, 81
2, 18883, 0, 2439
0, 18886, 756, 0
4, 18886, 4, 780
1, 18895, 67, 80
2, 18908, 9, 1185
0, 18917, 701, 0
4, 18917, 4, 791
1, 18925, 65, 78
2, 18933, 0, 1919
0, 18948, 707, 0
4, 18948, 4, 781
1, 18956, 62, 75
2, 18958, 0, 2332
0, 18979, 677, 0
4, 18979, 4, 800
1, 18987, 59, 72
2, 18987, 0, 2721
0, 19010, 631, 0
4, 19010, 4, 792
2, 19012, 2, 1907
1, 19018, 61, 75
2, 19037, 37, 955
0, 19041, 632, 0
4, 19041, 3, 812
1, 19048, 54, 68
2, 19062, 57, 0
0, 19072, 617, 0
4, 19072, 4, 797
1, 19079, 56, 58
2, 19087, 0, 5565
0, 19103, 628, 0
4, 19103, 5, 748
1, 19110, 58, 47
2, 19112, 5, 4192
0, 19134, 655, 0
4, 19134, 6, 741
1, 19140, 53, 39
2, 19141, 50, 4336
0, 19165, 677, 0
4, 19165, 5, 752
2, 19166, 63, 4970
1, 19171, 55, 34
2, 19191, 0, 4250
0, 19196, 664, 0
4, 19196, 8, 790
1, 19202, 52, 39
2, 19216, 102, 2383
0, 19227, 639, 0
4, 19227, 7, 800
1, 19233, 68, 40
2, 19241, 77, 3499
0, 19258, 662, 0
4, 19258, 7, 783
1, 19264, 70, 44
2, 19266, 50, 3649
0, 19289, 658, 0
4, 19289, 9, 785
1, 19295, 65, 48
2, 19295, 9, 0
0, 19320, 641, 0
4, 19320, 11, 770
2, 19321, 43, 3245
1, 19326, 62, 50
2, 19346, 43, 786
0, 19351, 640, 0
4, 19351, 13, 784
1, 19357, 58, 57
2, 19371, 65, 3106
0, 19382, 656, 0
4, 19382, 14, 794
1, 19388, 62, 56
2, 19396, 212, 1758
0, 19414, 649, 0
4, 19414, 15, 775
1, 19419, 58, 57
2, 19421, 136, 3845
0, 19444, 8190, 0
4, 19444, 19, 755
1, 19450, 55, 55
2, 19450, 84, 2952
0, 19475, 8191, 0
4, 19475, 23, 760
2, 19476, 37, 3135
1, 19481, 57, 59
2, 19501, 0, 2669
0, 19506, 8191, 0
4, 19506, 28, 758
1, 19511, 56, 55
2, 19526, 110, 2722
1, 19540, 59, 57
0, 19542, 8191, 0
4, 19542, 28, 739
2, 19551, 56, 2785
1, 19570, 62, 58
0, 19573, 8190, 0
4, 19573, 29, 738
2, 19576, 8, 2837
1, 19601, 64, 55
0, 19603, 8191, 0
4, 19603, 31, 750
2, 19604, 0, 2901
1, 19632, 68, 60
0, 19634, 8191, 0
4, 19634, 32, 780
2, 19635, 0, 2093
1, 19662, 61, 62
0, 19665, 8191, 0
4, 19665, 31, 785
