Device Type, Ticks, Data0, Data1
5, 6993, 0, 51
5, 6994, 0, 51
5, 6995, 0, 52
5, 6996, 0, 52
5, 6997, 0, 52
5, 6998, 0, 52
5, 6999, 0, 53
5, 7000, 0, 53
5, 7001, 0, 53
5, 7002, 0, 53
5, 7003, 0, 54
5, 7004, 0, 54
5, 7005, 0, 54
5, 7006, 0, 54
5, 7007, 0, 55
5, 7008, 0, 55
5, 7009, 0, 55
5, 7010, 0, 55
5, 7011, 0, 56
5, 7012, 0, 56
5, 7013, 0, 56
5, 7014, 0, 57
5, 7015, 0, 57
5, 7016, 0, 57
5, 7017, 0, 57
5, 7018, 0, 58
5, 7019, 0, 58
5, 7020, 0, 58
5, 7021, 0, 58
5, 7022, 0, 59
5, 7023, 0, 59
5, 7024, 0, 59
5, 7025, 0, 59
5, 7026, 0, 59
5, 7027, 0, 60
5, 7028, 0, 60
5, 7029, 0, 60
5, 7030, 0, 60
5, 7031, 0, 61
5, 7032, 0, 61
5, 7033, 0, 61
5, 7034, 0, 61
5, 7035, 0, 62
5, 7036, 0, 62
5, 7037, 0, 62
5, 7038, 0, 62
5, 7039, 0, 63
5, 7040, 0, 63
5, 7041, 0, 63
5, 7042, 0, 63
5, 7043, 0, 64
5, 7044, 0, 64
5, 7045, 0, 64
5, 7046, 0, 64
5, 7047, 0, 65
5, 7048, 0, 65
5, 7049, 0, 65
5, 7050, 0, 65
5, 7051, 0, 66
5, 7052, 0, 66
5, 7053, 0, 66
5, 7054, 0, 66
5, 7055, 0, 67
5, 7056, 0, 67
5, 7057, 0, 67
5, 7058, 0, 67
5, 7059, 0, 68
5, 7060, 0, 68
5, 7061, 0, 68
5, 7062, 0, 68
5, 7063, 0, 68
5, 7064, 0, 69
5, 7065, 0, 69
5, 7066, 0, 69
5, 7067, 0, 69
5, 7068, 0, 70
5, 7069, 0, 70
5, 7070, 0, 70
5, 7071, 0, 70
5, 7072, 0, 71
5, 7073, 0, 71
5, 7074, 0, 71
5, 7075, 0, 71
5, 7076, 0, 71
5, 7077, 0, 72
5, 7078, 0, 72
5, 7079, 0, 72
5, 7080, 0, 72
5, 7081, 0, 72
5, 7082, 0, 72
5, 7083, 0, 73
5, 7084, 0, 73
5, 7085, 0, 73
5, 7086, 0, 73
5, 7087, 0, 73
5, 7088, 0, 74
5, 7089, 0, 74
5, 7090, 0, 74
5, 7091, 0, 74
5, 7092, 0, 74
5, 7093, 0, 74
5, 7094, 0, 75
5, 7095, 0, 75
5, 7096, 0, 75
5, 7097, 0, 75
5, 7098, 0, 75
5, 7099, 0, 75
5, 7100, 0, 76
5, 7101, 0, 76
5, 7102, 0, 76
5, 7103, 0, 76
5, 7104, 0, 76
5, 7105, 0, 77
5, 7106, 0, 77
5, 7107, 0, 77
5, 7108, 0, 77
5, 7109, 0, 77
5, 7110, 0, 78
5, 7111, 0, 78
5, 7112, 0, 78
5, 7113, 0, 78
5, 7114, 0, 78
5, 7115, 0, 78
5, 7116, 0, 79
5, 7117, 0, 79
5, 7118, 0, 79
5, 7119, 0, 79
5, 7120, 0, 79
5, 7121, 0, 79
5, 7122, 0, 79
5, 7123, 0, 80
5, 7124, 0, 80
5, 7125, 0, 80
5, 7126, 0, 80
5, 7127, 0, 80
5, 7128, 0, 80
5, 7129, 0, 81
5, 7130, 0, 81
5, 7131, 0, 81
5, 7132, 0, 81
5, 7133, 0, 81
5, 7134, 0, 81
5, 7135, 0, 82
5, 7136, 0, 82
5, 7137, 0, 82
5, 7138, 0, 82
5, 7139, 0, 82
5, 7140, 0, 82
5, 7141, 0, 82
5, 7142, 0, 83
5, 7143, 0, 83
